"ATTR_ID","ATTR_NAME","DESCRIPTION","MATCH_RATE","LOE","CAT","SUBCAT","SUBCAT2","DATA_TYPE","LEN","ENCODE_VAL","VALID_VAL","VALID_VAL_CNT","VAL_BINARY_IND"
"1801","Family Ties - Potential Inheritor - Person","The input individual has been identified as having living relative, believed to be their parent, who (Parent) is age 60+ and has a net worth of $250k+.",14.88,"Person","Financial","Family Ties","Income 9.9 - FT","String",1,"Y = Yes","Y ",1,1
"1802","Family Ties - Adult with Senior Parent - Person","The input individual has been identified as having living relative, believed to be their parent, who (Parent) is age 64+.",22.43,"Person","Demographics","Family Ties","People in the HH - FT","String",1,"Y = Yes","Y ",1,1
"1805","Family Ties - Adult with Wealthy Parent - Person","The input individual has been identified as having living relative, believed to be their parent, who (Parent) has a net worth of $1 million or greater.",7.86,"Person","Financial","Family Ties","People in the HH - FT","String",1,"Y = Yes","Y ",1,1
"1806","Family Ties - Relatives Information Available - Person","Indicates that IBE Family Ties relatives data element information is available for the person on the client's record. The relative information can include parent information &/or adult child information.",54.69,"Person","Demographics","Family Ties","People in the HH - FT","String",1,"Y = Yes","Y ",1,1
"1807","Family Ties - Grandparent Indicator - Person","Flag indicating that the person on the client record is a grandparent of minor age grandchildren. The grandchildren may be living within or outside the client records household.",9.99,"Person","Demographics","Family Ties","People in the HH - FT","String",1,"Y = Yes","Y ",1,1
"1808_01","Family Ties - Grandchildren's Combined Age Ranges - Person - 00 to 02 Male","Indicates the presence of male grandchildren age 0 to 2.",0,"Person","Demographics","Family Ties","Child - CAR 4 - FT","String",1,"1 = True","1 ",1,1
"1808_02","Family Ties - Grandchildren's Combined Age Ranges - Person - 00 to 02 Female","Indicates the presence of female grandchildren age 0 to 2.",0,"Person","Demographics","Family Ties","Child - CAR 4 - FT","String",1,"1 = True","1 ",1,1
"1808_03","Family Ties - Grandchildren's Combined Age Ranges - Person - 00 to 02 Unknown Gender","Indicates the presence of grandchildren of unknown gender(s) age 0 to 2. Data could be coded as unknown gender because of ambiguous or unisex names.",0.51,"Person","Demographics","Family Ties","Child - CAR 4 - FT","String",1,"1 = True","1 ",1,1
"1808_04","Family Ties - Grandchildren's Combined Age Ranges - Person - 03 to 05 Male","Indicates the presence of male grandchildren age 3 to 5.",0.03,"Person","Demographics","Family Ties","Child - CAR 4 - FT","String",1,"1 = True","1 ",1,1
"1808_05","Family Ties - Grandchildren's Combined Age Ranges - Person - 03 to 05 Female","Indicates the presence of female grandchildren age 3 to 5.",0.02,"Person","Demographics","Family Ties","Child - CAR 4 - FT","String",1,"1 = True","1 ",1,1
