"PRODUCT","ATTR_ID","ATTR_NAME","DESCRIPTION","MATCH_RATE","LOE","CAT","SUBCAT","SUBCAT2","DATA_TYPE","LEN","ENCODE_VAL","VALID_VAL","VALID_VAL_CNT","VAL_BINARY_IND","ATTR_LABEL"
"infoBase","2076_01","Causes Supported Financially - Charitable","Indicates that the household financially supports charitable causes.",62.54,"Household","Activities & Interests","Interests","Interests - General - Causes","String",1,"1 = True","1 ",1,1,"H_CHARITY"
"infoBase","2076_02","Causes Supported Financially - Animal Welfare","Indicates that the household financially supports animal welfare causes.",13.08,"Household","Activities & Interests","Interests","Interests - General - Causes","String",1,"1 = True","1 ",1,1,"H_ANIMAL_WELL"
"infoBase","2076_03","Causes Supported Financially - Arts or Cultural","Indicates that the household financially supports arts or cultural causes.",1.58,"Household","Activities & Interests","Interests","Interests - General - Causes","String",1,"1 = True","1 ",1,1,"H_ARTS_CULTURE"
"infoBase","2076_04","Causes Supported Financially - Childrens","Indicates that the household financially supports children's causes.",16.11,"Household","Activities & Interests","Interests","Interests - General - Causes","String",1,"1 = True","1 ",1,1,"H_CHILD_CAUSES"
"infoBase","2076_05","Causes Supported Financially - Environment or Wildlife","Indicates that the household financially supports environment or wildlife causes.",15.88,"Household","Activities & Interests","Interests","Interests - General - Causes","String",1,"1 = True","1 ",1,1,"H_ENVIRONMENT"
"infoBase","2076_06","Causes Supported Financially - Health","Indicates that the household financially supports health-related causes.",24.23,"Household","Activities & Interests","Interests","Interests - General - Causes","String",1,"1 = True","1 ",1,1,"H_HEALTH_CAUSE"
"infoBase","2076_07","Causes Supported Financially - International Aid","Indicates that the household financially supports international aid-related causes.",2.29,"Household","Activities & Interests","Interests","Interests - General - Causes","String",1,"1 = True","1 ",1,1,"H_INTERNAT_AID"
"infoBase","2076_08","Causes Supported Financially - Political","Indicates that the household financially supports political causes.",46.71,"Household","Activities & Interests","Interests","Interests - General - Causes","String",1,"1 = True","1 ",1,1,"H_POLITICS_CAUSE"
"infoBase","2076_09","Causes Supported Financially - Politically Conservative","Indicates that the household financially supports conservative political causes.",26.61,"Household","Activities & Interests","Interests","Interests - General - Causes","String",1,"1 = True","1 ",1,1,"H_RIGHT_CAUSES"
"infoBase","2076_10","Causes Supported Financially - Politically Liberal","Indicates that the household financially supports liberal political causes.",3.81,"Household","Activities & Interests","Interests","Interests - General - Causes","String",1,"1 = True","1 ",1,1,"H_LEFT_CAUSES"
"infoBase","2076_11","Causes Supported Financially - Religious","Indicates that the household financially supports religious causes.",17.46,"Household","Activities & Interests","Interests","Interests - General - Causes","String",1,"1 = True","1 ",1,1,"H_RELIGION_CAUSE"
"infoBase","2076_12","Causes Supported Financially - Veterans","Indicates that the household financially supports veteran-related causes.",10.98,"Household","Activities & Interests","Interests","Interests - General - Causes","String",1,"1 = True","1 ",1,1,"H_VETERAN_AID"
"infoBase","2076_13","Causes Supported Financially - Other","Indicates that the household financially supports other community causes.",7.53,"Household","Activities & Interests","Interests","Interests - General - Causes","String",1,"1 = True","1 ",1,1,"H_OTHER_CAUSES"
"infoBase","2202","Health - Cholesterol Focus in Household","This household has a cholesterol interest because they have purchased cholesterol focused products or indicated someone in the household has a cholesterol focus. The element does not fall under HIPAA regulations. The data is based on self-reported data and over-the-counter purchases, NOT from drug prescriptions or medical records. The data can be used for marketing and segmentation purposes.",8.06,"Household","Activities & Interests","Interests","Interests - Health Beauty","String",1,"1 = True","1 ",1,1,"H_CHOLESTEROL"
"infoBase","2203","Health - Diabetic Interest in Household","This household has a diabetic interest because they have purchased diabetic products, subscribe to an online diabetic newsletter, have registered to receive diabetic offers, or they indicated that someone in the household has diabetes. The element does not fall under HIPAA regulations. The data is based on self-reported data and over-the-counter purchases, NOT from drug prescriptions or medical records. The data can be used for marketing and segmentation purposes.    These promotional responders all subscribe to an online health newsletter focusing on Diabetic News and Health Tips or have registered to receive multiple health and other diabetic offer.",9.27,"Household","Activities & Interests","Interests","Interests - Health Beauty","String",1,"1 = True","1 ",1,1,"H_DIABETIC"
"infoBase","2205","Health - Homeopathic Interest in Household","This household has a homeopathic interest because they have purchased homeopathic products or indicated someone in the household has homeopathic interests. The element does not fall under HIPAA regulations. The data is based on self-reported data and over-the-counter purchases, NOT from drug prescriptions or medical records. The data can be used for marketing and segmentation purposes.",22.04,"Household","Activities & Interests","Interests","Interests - Health Beauty","String",1,"1 = True","1 ",1,1,"H_HOMEOPATH"
"infoBase","2206","Health - Organic Focus in Household","This household has an Organic interest because they have purchased organic products or indicated someone in the household has an organic interest. The element does not fall under HIPAA regulations. The data is based on self-reported data and over-the-counter purchases, NOT from drug prescriptions or medical records. The data can be used for marketing and segmentation purposes.",6.72,"Household","Activities & Interests","Interests","Interests - Health Beauty","String",1,"1 = True","1 ",1,1,"H_ORGANIC"
"infoBase","2350","Business Owner","Indicates the type of business owned by someone in the household.",1.75,"Household","Demographics","Occupation","Occupation","String",1,"A = Accountant","A ",10,0,"H_BUSINESS_OWNER"
"infoBase","2350","Business Owner","Indicates the type of business owned by someone in the household.",1.75,"Household","Demographics","Occupation","Occupation","String",1,"B = Builder","B ",10,0,"H_BUSINESS_OWNER"
"infoBase","2350","Business Owner","Indicates the type of business owned by someone in the household.",1.75,"Household","Demographics","Occupation","Occupation","String",1,"C = Contractor","C ",10,0,"H_BUSINESS_OWNER"
"infoBase","2350","Business Owner","Indicates the type of business owned by someone in the household.",1.75,"Household","Demographics","Occupation","Occupation","String",1,"D = Dealer/Retailer/Storekeeper","D ",10,0,"H_BUSINESS_OWNER"
"infoBase","2350","Business Owner","Indicates the type of business owned by someone in the household.",1.75,"Household","Demographics","Occupation","Occupation","String",1,"E = Distributor/Wholesaler","E ",10,0,"H_BUSINESS_OWNER"
"infoBase","2350","Business Owner","Indicates the type of business owned by someone in the household.",1.75,"Household","Demographics","Occupation","Occupation","String",1,"F = Funeral Director","F ",10,0,"H_BUSINESS_OWNER"
"infoBase","2350","Business Owner","Indicates the type of business owned by someone in the household.",1.75,"Household","Demographics","Occupation","Occupation","String",1,"M = Maker/Manufacturer","M ",10,0,"H_BUSINESS_OWNER"
"infoBase","2350","Business Owner","Indicates the type of business owned by someone in the household.",1.75,"Household","Demographics","Occupation","Occupation","String",1,"O = Owner","O ",10,0,"H_BUSINESS_OWNER"
"infoBase","2350","Business Owner","Indicates the type of business owned by someone in the household.",1.75,"Household","Demographics","Occupation","Occupation","String",1,"P = Partner","P ",10,0,"H_BUSINESS_OWNER"
"infoBase","2350","Business Owner","Indicates the type of business owned by someone in the household.",1.75,"Household","Demographics","Occupation","Occupation","String",1,"S = Self-Employed","S ",10,0,"H_BUSINESS_OWNER"
"infoBase","2351","Single Parent","Indicates that a single parent exists in the household.",14.1,"Household","Demographics","Household","People in the HH","String",1,"1 = True","1 ",1,1,"H_SINGLE_PARENT"
"infoBase","2354","Life Insurance Policy Owner","Indicates that someone in the household owns a life insurance policy.",15.2,"Household","Financial","Household","Life - Ins Policy","String",1,"1 = True","1 ",1,1,"H_LIFE_INSURE"
"infoBase","2356","Veteran","Indicates that a veteran exists in the household.",10.67,"Household","Demographics","Household","People in the HH","String",1,"1 = True","1 ",1,1,"H_VETERAN"
"infoBase","2776","Green Living","Green Living represents households that are living environmentally friendly. They use environmentally healthy products and services such as, eco-friendly soaps, detergents, and household cleaning products. These households eat organic foods, and potentially grow the food themselves. They may also be socially active by donating funds to environmental causes. Some of them drive vehicles that are considered ""green"" or hybrids.",29.76,"Household","Activities & Interests","Interests","Interests - Lifestyle","String",1,"1 = True","1 ",1,1,"H_GREEN_LIVE"
"infoBase","3804","Ethnic Group - Person","Likely Race/Ethnicity of the person, based on self-reported sources, public sources, and surname/Ethnicity tables.",87.04,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",1,"A = Asian","A ",8,0,"P_ETHNIC_GRP"
"infoBase","3804","Ethnic Group - Person","Likely Race/Ethnicity of the person, based on self-reported sources, public sources, and surname/Ethnicity tables.",87.04,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",1,"B = African American","B ",8,0,"P_ETHNIC_GRP"
"infoBase","3804","Ethnic Group - Person","Likely Race/Ethnicity of the person, based on self-reported sources, public sources, and surname/Ethnicity tables.",87.04,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",1,"C = Chinese","C ",8,0,"P_ETHNIC_GRP"
"infoBase","3804","Ethnic Group - Person","Likely Race/Ethnicity of the person, based on self-reported sources, public sources, and surname/Ethnicity tables.",87.04,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",1,"H = Hispanic","H ",8,0,"P_ETHNIC_GRP"
"infoBase","3804","Ethnic Group - Person","Likely Race/Ethnicity of the person, based on self-reported sources, public sources, and surname/Ethnicity tables.",87.04,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",1,"I = American Indian","I ",8,0,"P_ETHNIC_GRP"
"infoBase","3804","Ethnic Group - Person","Likely Race/Ethnicity of the person, based on self-reported sources, public sources, and surname/Ethnicity tables.",87.04,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",1,"J = Japanese","J ",8,0,"P_ETHNIC_GRP"
"infoBase","3804","Ethnic Group - Person","Likely Race/Ethnicity of the person, based on self-reported sources, public sources, and surname/Ethnicity tables.",87.04,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",1,"P = Portugese","P ",8,0,"P_ETHNIC_GRP"
"infoBase","3804","Ethnic Group - Person","Likely Race/Ethnicity of the person, based on self-reported sources, public sources, and surname/Ethnicity tables.",87.04,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",1,"W = Caucasian/White","W ",8,0,"P_ETHNIC_GRP"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"11 = Cambodia","11 ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"12 = China","12 ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"13 = Guam","13 ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"14 = India","14 ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"15 = Indonesia","15 ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"16 = Japan","16 ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"17 = Korea","17 ",64,0,"P_COUNTRY_ORIGIN"
