COLUMN_NAME,CATEGORY,COUNT,PERCENTAGE
INPUT_GEO_MATCH_LEVEL_CODE_3018,0,1913,0
INPUT_GEO_MATCH_LEVEL_CODE_3018,5,8188948,3.26
INPUT_GEO_MATCH_LEVEL_CODE_3018,A,197793608,78.77
INPUT_GEO_MATCH_LEVEL_CODE_3018,4,1433948,0.57
INPUT_GEO_MATCH_LEVEL_CODE_3018,3,8,0
INPUT_GEO_MATCH_LEVEL_CODE_3018,1,40718373,16.22
INPUT_GEO_MATCH_LEVEL_CODE_3018,2,2967522,1.18
INPUT_CENSUS_BLOCK_GROUP_3004,8,60460,0.02
INPUT_CENSUS_BLOCK_GROUP_3004,0,5329,0
INPUT_CENSUS_BLOCK_GROUP_3004,5,6813548,2.71
INPUT_CENSUS_BLOCK_GROUP_3004,7,370105,0.15
INPUT_CENSUS_BLOCK_GROUP_3004,9,10019,0
INPUT_CENSUS_BLOCK_GROUP_3004,6,1794250,0.71
INPUT_CENSUS_BLOCK_GROUP_3004,,1913,0
INPUT_CENSUS_BLOCK_GROUP_3004,4,21779862,8.67
INPUT_CENSUS_BLOCK_GROUP_3004,3,49375224,19.66
INPUT_CENSUS_BLOCK_GROUP_3004,1,91588666,36.47
INPUT_CENSUS_BLOCK_GROUP_3004,2,79304944,31.58
INPUT_TIME_ZONE_3041,P,1803228,0.72
INPUT_TIME_ZONE_3041,H,57635,0.02
INPUT_TIME_ZONE_3041,U,12690,0.01
INPUT_TIME_ZONE_3041,A,18165,0.01
INPUT_TIME_ZONE_3041,,236910584,94.35
INPUT_TIME_ZONE_3041,E,7627498,3.04
INPUT_TIME_ZONE_3041,M,454205,0.18
INPUT_TIME_ZONE_3041,C,4220315,1.68
INPUT_PRESENCE_OF_PHONE_FLAG_3031,N,164592200,65.55
INPUT_PRESENCE_OF_PHONE_FLAG_3031,U,72318384,28.8
INPUT_PRESENCE_OF_PHONE_FLAG_3031,Y,14193736,5.65
INPUT_ZIP4_RECORD_TYPE_3045,S,208992530,83.23
INPUT_ZIP4_RECORD_TYPE_3045,P,8666225,3.45
INPUT_ZIP4_RECORD_TYPE_3045,H,33374765,13.29
INPUT_ZIP4_RECORD_TYPE_3045,R,70800,0.03
INPUT_DSF_DELIVERABILITY_INDICATOR_3037,3,2487728,0.99
INPUT_DSF_DELIVERABILITY_INDICATOR_3037,1,248488446,98.96
INPUT_DSF_DELIVERABILITY_INDICATOR_3037,2,128146,0.05
INPUT_DELIVERY_POINT_DROP_INDICATOR_8094,N,248872040,99.11
INPUT_DELIVERY_POINT_DROP_INDICATOR_8094,C,603,0
INPUT_DELIVERY_POINT_DROP_INDICATOR_8094,Y,2231677,0.89
INPUT_GENDER_CODE_3017,U,7985798,3.18
INPUT_GENDER_CODE_3017,F,126118567,50.23
INPUT_GENDER_CODE_3017,M,116999955,46.59
INPUT_VACANT_3049,N,251104320,100
INPUT_INDIVIDUAL_ID_4117,00006,342832,0.14
INPUT_INDIVIDUAL_ID_4117,00008,15356,0.01
INPUT_INDIVIDUAL_ID_4117,00001,171053880,68.12
INPUT_INDIVIDUAL_ID_4117,00002,54143372,21.56
INPUT_INDIVIDUAL_ID_4117,00009,2263,0
INPUT_INDIVIDUAL_ID_4117,00003,18208428,7.25
INPUT_INDIVIDUAL_ID_4117,00004,5770293,2.3
INPUT_INDIVIDUAL_ID_4117,00007,75324,0.03
INPUT_INDIVIDUAL_ID_4117,00005,1492572,0.59
INPUT_NEILSON_CODE_3028,B,76917918,30.63
INPUT_NEILSON_CODE_3028,A,103632144,41.27
INPUT_NEILSON_CODE_3028,,1913,0
INPUT_NEILSON_CODE_3028,D,34062285,13.57
INPUT_NEILSON_CODE_3028,C,36490060,14.53
INPUT_STREET_DIRECTIONAL_3133,S,9978311,3.97
INPUT_STREET_DIRECTIONAL_3133,NW,2001093,0.8
INPUT_STREET_DIRECTIONAL_3133,N,10091141,4.02
INPUT_STREET_DIRECTIONAL_3133,NE,1418741,0.57
INPUT_STREET_DIRECTIONAL_3133,,202567633,80.67
INPUT_STREET_DIRECTIONAL_3133,SE,1251008,0.5
INPUT_STREET_DIRECTIONAL_3133,E,10324667,4.11
