COLUMN_NAME,MISSING_VALUES,MISSING_PERCENTAGE
INPUT_ZIP_CODE_3043,0,0.000000
INPUT_ZIP4_CODE_3044,0,0.000000
INPUT_NUMBER_OF_SOURCES_NAME_ADDRESS_3027,0,0.000000
INPUT_PREFIX_TITLE_8093,884414,0.352200
INPUT_ADDRESS_TYPE_INDICATOR_3001,0,0.000000
INPUT_FIPS_MCD_CODE_3023,1913,0.000800
INPUT_ADDRESS_LINE_3002,0,0.000000
INPUT_USE_CODE_3048,0,0.000000
INPUT_LATITUDE_3021,1913,0.000800
INPUT_LONGITUDE_3022,1913,0.000800
INPUT_GEO_MATCH_LEVEL_CODE_3018,0,0.000000
INPUT_CENSUS_TRACT_CODE_3006,1913,0.000800
INPUT_CENSUS_BLOCK_GROUP_3004,1913,0.000800
INPUT_CENSUS_BLOCK_CODE_1003,1913,0.000800
INPUT_FIPS_STATE_CODE_3016,1913,0.000800
INPUT_FIPS_COUNTY_CODE_3007,1913,0.000800
INPUT_CENSUS_MEDIAN_HOME_VALUE_3024,1913,0.000800
INPUT_STATE_3038,0,0.000000
INPUT_ECONOMIC_STABILITY_INDICATOR_ESI_9350,1875241,0.746800
INPUT_TIME_ZONE_3041,236910584,94.347500
INPUT_PRESENCE_OF_PHONE_FLAG_3031,0,0.000000
INPUT_PHONE_3032,0,0.000000
INPUT_ZIP4_RECORD_TYPE_3045,0,0.000000
INPUT_DSF_DELIVERABILITY_INDICATOR_3037,0,0.000000
INPUT_DELIVERY_POINT_DROP_INDICATOR_8094,0,0.000000
INPUT_GENDER_CODE_3017,0,0.000000
INPUT_FILE_DATE_3015,0,0.000000
INPUT_VACANT_3049,0,0.000000
INPUT_COMPANY_ID_4116,0,0.000000
INPUT_INDIVIDUAL_ID_4117,0,0.000000
INPUT_DMA_CODE_3010,1913,0.000800
INPUT_NEILSON_CODE_3028,1913,0.000800
INPUT_CENSUS_MEDIAN_HOUSEHOLD_INCOME_3025,1913,0.000800
INPUT_CARRIER_ROUTE_CODE_3009,0,0.000000
INPUT_ADDRESS_LINE2_4111,218624688,87.065300
INPUT_CBSA_CODE_3005,1913,0.000800
INPUT_FIRST_NAME_3131,0,0.000000
INPUT_MIDDLE_INITIAL_3131,61555375,24.513900
INPUT_LAST_NAME_3131,0,0.000000
