HP2023_DOMAIN,VAR_DOMAIN,VAR_SUBDOMAIN,VAR,VAR_LABEL,VAR_TYPE,VAR_CODE_SRC,DESCRIPTION
HC,Interests,Interests - Health Beauty,H_CHOLESTEROL,Health - Cholesterol Focus in Household,C,2202,"This household has a cholesterol interest because they have purchased cholesterol focused products or indicated someone in the household has a cholesterol focus. The element does not fall under HIPAA regulations. The data is based on self-reported data and over-the-counter purchases, NOT from drug prescriptions or medical records. The data can be used for marketing and segmentation purposes."
HC,Interests,Interests - Health Beauty,H_DIABETIC,Health - Diabetic Interest in Household,C,2203,"This household has a diabetic interest because they have purchased diabetic products, subscribe to an online diabetic newsletter, have registered to receive diabetic offers, or they indicated that someone in the household has diabetes. The element does not fall under HIPAA regulations. The data is based on self-reported data and over-the-counter purchases, NOT from drug prescriptions or medical records. The data can be used for marketing and segmentation purposes.    These promotional responders all subscribe to an online health newsletter focusing on Diabetic News and Health Tips or have registered to receive multiple health and other diabetic offer."
HC,Interests,Interests - Health Beauty,H_HOMEOPATH,Health - Homeopathic Interest in Household,C,2205,"This household has a homeopathic interest because they have purchased homeopathic products or indicated someone in the household has homeopathic interests. The element does not fall under HIPAA regulations. The data is based on self-reported data and over-the-counter purchases, NOT from drug prescriptions or medical records. The data can be used for marketing and segmentation purposes."
HC,Interests,Interests - Health Beauty,H_ORGANIC,Health - Organic Focus in Household,C,2206,"This household has an Organic interest because they have purchased organic products or indicated someone in the household has an organic interest. The element does not fall under HIPAA regulations. The data is based on self-reported data and over-the-counter purchases, NOT from drug prescriptions or medical records. The data can be used for marketing and segmentation purposes."
ES,Financial,Spending,H_TOTAL_SPEND_2YR,Total spending in past 2 years,N,3505,Total spending for the past 2 years on either online of offline purchases
SC,Household,People in the HH,H_SINGLE_PARENT,Single Parent,C,2351,Indicates that a single parent exists in the household.
HC,Household,Life - Ins Policy,H_LIFE_INSURE,Life Insurance Policy Owner,C,2354,Indicates that someone in the household owns a life insurance policy.
SC,Household,People in the HH,H_VETERAN,Veteran,C,2356,Indicates that a veteran exists in the household.
NE,Interests,Interests - Lifestyle,H_GREEN_LIVE,Green Living,C,2776,"Green Living represents households that are living environmentally friendly. They use environmentally healthy products and services such as, eco-friendly soaps, detergents, and household cleaning products. These households eat organic foods, and potentially grow the food themselves. They may also be socially active by donating funds to environmental causes. Some of them drive vehicles that are considered ""green"" or hybrids."
ES,Financial,Spending,H_ONLINE_SPEND,Total online spending,N,3671,Total spending on online purchases
ES,Financial,y BA - CCard,H_NUM_CREDIT_LINE,Number of Lines of Credit (Trade Counter),N,8816,Indicates credit purchases made in multiple retail stores for the household.
SC,Ethnicity,Ethnicity - IB - Modeled - 0 Person,P_ETHNIC_GRP,Ethnic Group - Person,C,3804,"Likely Race/Ethnicity of the person, based on self-reported sources, public sources, and surname/Ethnicity tables."
SC,Ethnicity,Ethnicity - IB - Modeled - 0 Person,P_COUNTRY_ORIGIN,Country of Origin (High Detail) - Person,C,3806,"Likely Country of Origin of the person, based on a surname/heritage of surname table."
SC,Ethnicity,Ethnicity - IB - Modeled - 0 Person,P_HISPANIC_LANG,Hispanic Language Preference - Person,C,3807,Likely Hispanic language preference (does or does not speak Spanish) of the person. This data is fully modeled.
SC,Other,Consumer Prominence Indicator - Person,P_PROMINENCE,Consumer Prominence Indicator - Person,N,4100,"The CPI score is a representation of the amount of individual data available per consumer.  The score illuminates depth of data available for a person, and provides an easy-to-use relative measure of how active a person is in the marketplace.
The CPI rules are proprietary, but in general a set of business rules is used to calculate this element.   A count is generated from the number of sources updated in the last 24 months for some of the person-level data, and then that count is  transformed into values of 01-10.  "
HC,Lifestyle,Smoking,H_BUY_CIGARS,Cigars,C,6264,"A Gift purchase of Cigars has occurred within the last 24 months in the Household. The Buying Activity data has been summarized into a categorical level according to purchase activity. This removes certain point-of-sale information, such as SKUs (stock keeping unit) but allows visibility into types of purchases and buying behaviors within the Household."
HC,Lifestyle,Lifestyle Combinations,H_FITNESS_WARRIOR,Fitness Warriors,C,7286,Households with people who like to exercise and have middle income or above
HC,Lifestyle,Lifestyle Combinations,H_HEALTH_ENTHUS,Health Enthusiasts,C,7288,Households with people who are interested in their health and medical well being
